@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
1233,'2022/01/20 16:21:07:766',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1234,'2022/01/20 16:21:07:866',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1235,'2022/01/20 16:21:07:966',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1236,'2022/01/20 16:21:08:066',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1237,'2022/01/20 16:21:08:166',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1238,'2022/01/20 16:21:08:266',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1239,'2022/01/20 16:21:08:366',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1240,'2022/01/20 16:21:08:466',96,52,0,0,0,1,0.7,259,35,212,4.25,246
1241,'2022/01/20 16:21:13:266',97,62,41,1,0.3312,1,0.7,259,35,212,4.25,246
1242,'2022/01/20 16:21:13:366',97,62,41,1,0.8512,1,0.7,259,35,212,4.25,246
1243,'2022/01/20 16:21:13:466',97,62,41,1,0.8444,1,0.7,259,35,212,4.25,246
1244,'2022/01/20 16:21:13:566',97,41,41,1,0.6746,1,0.7,259,35,212,4.25,246
1245,'2022/01/20 16:21:13:666',97,41,41,1,0.5182,1,0.7,259,35,212,4.25,246
1246,'2022/01/20 16:21:13:766',97,41,41,0.9586,0.4045,1,0.7,259,35,212,4.25,246
1247,'2022/01/20 16:21:13:866',97,62,41,0.791,0.32,1,0.7,259,35,212,4.25,246
1248,'2022/01/20 16:21:13:966',97,35,41,0.6608,0.2531,1,0.7,259,35,212,4.25,246
1249,'2022/01/20 16:21:14:066',97,59,41,0.5474,0.1951,1,0.7,259,35,212,4.25,246
1250,'2022/01/20 16:21:14:166',97,59,41,0.4491,0.1465,1,0.7,259,35,212,4.25,246
1251,'2022/01/20 16:21:14:266',97,59,41,0.3888,0.1096,1,0.7,259,35,212,4.25,246
1252,'2022/01/20 16:21:14:366',97,46,41,0.3224,0.0046,1,0.7,259,35,212,4.25,246
1253,'2022/01/20 16:21:19:966',98,62,40,0.8902,0.4805,1,0.7,259,35,212,4.25,246
1254,'2022/01/20 16:21:20:066',98,43,40,0.9207,0.444,1,0.7,259,35,212,4.25,246
1255,'2022/01/20 16:21:20:166',98,40,40,0.7593,0.311,1,0.7,259,35,212,4.25,246
1256,'2022/01/20 16:21:20:267',98,62,40,0.6241,0.2264,1,0.7,259,35,212,4.25,246
1257,'2022/01/20 16:21:20:366',98,62,40,0.5127,0.185,1,0.7,259,35,212,4.25,246
1258,'2022/01/20 16:21:20:466',98,62,47,0.1666,0.0118,1,0.7,259,35,212,4.25,246
1259,'2022/01/20 16:21:20:566',98,62,47,0.1557,0.0095,1,0.7,259,35,212,4.25,246
1260,'2022/01/20 16:21:20:666',98,62,47,0.1426,0.008,1,0.7,259,35,212,4.25,246
1261,'2022/01/20 16:21:20:766',98,62,47,0.1241,0.0071,1,0.7,259,35,212,4.25,246
1262,'2022/01/20 16:21:20:867',98,62,47,0.1023,0.0064,1,0.7,259,35,212,4.25,246
1263,'2022/01/20 16:21:20:966',98,62,47,0.0826,0.0057,1,0.7,259,35,212,4.25,246
1264,'2022/01/20 16:21:21:066',98,62,47,0.0666,0.0049,1,0.7,259,35,212,4.25,246
1265,'2022/01/20 16:21:21:166',98,62,47,0.0532,0.0042,1,0.7,259,35,212,4.25,246
1266,'2022/01/20 16:21:21:267',98,50,47,0.0423,0,1,0.7,259,35,212,4.25,246
1267,'2022/01/20 16:21:24:566',99,74,52,0.8311,0.0666,1,0.7,259,35,212,4.25,246
1268,'2022/01/20 16:21:24:666',99,74,52,0.7937,0.2353,1,0.7,259,35,212,4.25,246
1269,'2022/01/20 16:21:24:766',99,74,52,0.3389,0.1784,1,0.7,259,35,212,4.25,246
1270,'2022/01/20 16:21:24:866',99,74,52,0.1989,0.1362,1,0.7,259,35,212,4.25,246
1271,'2022/01/20 16:21:24:966',99,74,52,0.2231,0.1142,1,0.7,259,35,212,4.25,246
1272,'2022/01/20 16:21:25:066',99,74,52,0.206,0.0903,1,0.7,259,35,212,4.25,246
1273,'2022/01/20 16:21:25:166',99,74,52,0.1539,0.0664,1,0.7,259,35,212,4.25,246
1274,'2022/01/20 16:21:25:266',99,74,52,0.096,0.0462,1,0.7,259,35,212,4.25,246
1275,'2022/01/20 16:21:25:366',99,74,52,0.0556,0.0355,1,0.7,259,35,212,4.25,246
1276,'2022/01/20 16:21:25:466',99,74,52,0.0388,0.0306,1,0.7,259,35,212,4.25,246
1277,'2022/01/20 16:21:25:566',99,74,52,0.0395,0.0257,1,0.7,259,35,212,4.25,246
1278,'2022/01/20 16:21:25:667',99,74,52,0.0436,0.0195,1,0.7,259,35,212,4.25,246
1279,'2022/01/20 16:21:25:766',99,74,52,0.0447,0.0151,1,0.7,259,35,212,4.25,246
1280,'2022/01/20 16:21:25:866',99,74,52,0.0438,0.0128,1,0.7,259,35,212,4.25,246
1281,'2022/01/20 16:21:25:966',99,74,52,0.0368,0.0103,1,0.7,259,35,212,4.25,246
1282,'2022/01/20 16:21:26:067',99,74,52,0.0239,0.0069,1,0.7,259,35,212,4.25,246
1283,'2022/01/20 16:30:30:171',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1284,'2022/01/20 16:30:30:270',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1285,'2022/01/20 16:30:30:370',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1286,'2022/01/20 16:30:30:470',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1287,'2022/01/20 16:30:30:570',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1288,'2022/01/20 16:30:30:670',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1289,'2022/01/20 16:30:30:770',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1290,'2022/01/20 16:30:30:870',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1291,'2022/01/20 16:30:30:970',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1292,'2022/01/20 16:30:31:070',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1293,'2022/01/20 16:30:31:170',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1294,'2022/01/20 16:30:31:271',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1295,'2022/01/20 16:30:31:370',100,47,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1296,'2022/01/20 16:30:38:671',101,46,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1297,'2022/01/20 16:30:38:770',101,40,38,0.1706,0,23,0.471,55,16.16,46,3.3,0.3
1298,'2022/01/20 16:30:38:872',101,40,38,0.1622,0,23,0.471,55,16.16,46,3.3,0.3
1299,'2022/01/20 16:30:38:970',101,40,38,0.128,0,23,0.471,55,16.16,46,3.3,0.3
1300,'2022/01/20 16:30:39:070',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1301,'2022/01/20 16:30:39:170',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1302,'2022/01/20 16:30:39:270',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
1303,'2022/01/20 16:30:39:370',101,40,0,0,0,23,0.471,55,16.16,46,3.3,0.3
